test_network,method,spearman,kendall,ndcg_top,top_hit
email-Eu-core,k-core,0.9841,0.8803,0.9618,86
email-Eu-core,XGBoost,0.9808,0.879,0.9885,91
email-Eu-core,RRF,0.9898,0.9099,0.9834,90
email-Eu-core,TopL-50,0.9896,0.9091,0.98,90
email-Eu-core,TopL-100,0.9898,0.9096,0.9807,86
email-Eu-core,TopL-200,0.9894,0.9083,0.9834,90
Facebook,k-core,0.8249,0.6571,0.9606,67
Facebook,XGBoost,0.8569,0.6485,0.4783,1
Facebook,RRF,0.9016,0.7364,0.7095,28
Facebook,TopL-50,0.9017,0.7368,0.811,31
Facebook,TopL-100,0.902,0.7382,0.9599,67
Facebook,TopL-200,0.903,0.7429,0.9597,67
US-power-grid,k-core,0.5322,0.3089,0.8124,47
US-power-grid,XGBoost,0.7848,0.6076,0.7176,47
US-power-grid,RRF,0.6992,0.5158,0.8438,57
US-power-grid,TopL-50,0.6991,0.5158,0.8432,56
US-power-grid,TopL-100,0.6991,0.5157,0.7992,47
US-power-grid,TopL-200,0.6991,0.5156,0.8263,51
OpenFlights,k-core,0.8046,0.6197,0.9405,73
OpenFlights,XGBoost,0.9138,0.7574,0.9418,79
OpenFlights,RRF,0.9137,0.7623,0.979,88
OpenFlights,TopL-50,0.9137,0.7623,0.9782,88
OpenFlights,TopL-100,0.9137,0.762,0.9548,73
OpenFlights,TopL-200,0.9137,0.7622,0.979,88
