p,method,spearman,ndcg@100
0.015,XGBoost,0.9808,0.9932
0.015,degree,0.9682,0.9838
0.015,k-core,0.9703,0.9534
0.015,PageRank,0.952,0.9773
0.015,betweenness,0.8966,0.943
0.02,XGBoost,0.9881,0.9957
0.02,degree,0.9776,0.988
0.02,k-core,0.9786,0.9577
0.02,PageRank,0.9626,0.9826
0.02,betweenness,0.9042,0.9467
0.025,XGBoost,0.9919,0.9975
0.025,degree,0.9846,0.9922
0.025,k-core,0.9848,0.9719
0.025,PageRank,0.9706,0.9875
0.025,betweenness,0.9126,0.9544
0.03,XGBoost,0.9934,0.9981
0.03,degree,0.9877,0.9955
0.03,k-core,0.9863,0.9789
0.03,PageRank,0.973,0.9919
0.03,betweenness,0.9117,0.9587
0.035,XGBoost,0.9946,0.9986
0.035,degree,0.9902,0.9966
0.035,k-core,0.9886,0.9851
0.035,PageRank,0.9756,0.9938
0.035,betweenness,0.9117,0.9599
0.04,XGBoost,0.9953,0.9987
0.04,degree,0.9914,0.9974
0.04,k-core,0.9889,0.9886
0.04,PageRank,0.9771,0.9953
0.04,betweenness,0.9129,0.9623
0.05,XGBoost,0.9957,0.9987
0.05,degree,0.9934,0.9982
0.05,k-core,0.9892,0.9936
0.05,PageRank,0.98,0.9969
0.05,betweenness,0.916,0.966
0.06,XGBoost,0.9951,0.999
0.06,degree,0.9939,0.9989
0.06,k-core,0.9893,0.996
0.06,PageRank,0.9811,0.998
0.06,betweenness,0.9176,0.9689
