method,budget_L,residual_mean_outbreak
degree,0,86.1733
degree,5,62.1813
degree,10,48.6431
degree,15,41.489
degree,20,27.6042
degree,30,11.6885
degree,40,6.5313
degree,50,3.7426
degree,60,3.0526
degree,80,2.2651
degree,100,1.9288
degree,150,1.4865
degree,200,1.328
k-core,0,84.6781
k-core,5,74.6776
k-core,10,61.2529
k-core,15,55.1919
k-core,20,44.1267
k-core,30,28.4576
k-core,40,13.2873
k-core,50,9.0014
k-core,60,6.2555
k-core,80,4.0426
k-core,100,2.4523
k-core,150,1.8279
k-core,200,1.5961
PageRank,0,87.9113
PageRank,5,65.3912
PageRank,10,48.9409
PageRank,15,35.9421
PageRank,20,27.1327
PageRank,30,11.5652
PageRank,40,6.6268
PageRank,50,4.3806
PageRank,60,2.9072
PageRank,80,2.2055
PageRank,100,1.8713
PageRank,150,1.495
PageRank,200,1.3095
betweenness,0,86.9696
betweenness,5,68.545
betweenness,10,50.3902
betweenness,15,37.4285
betweenness,20,29.3214
betweenness,30,14.6025
betweenness,40,9.7639
betweenness,50,6.0933
betweenness,60,3.8451
betweenness,80,2.498
betweenness,100,2.0085
betweenness,150,1.5466
betweenness,200,1.391
TopL-corrected,0,83.6652
TopL-corrected,5,70.3693
TopL-corrected,10,60.4078
TopL-corrected,15,47.0209
TopL-corrected,20,34.8767
TopL-corrected,30,11.8064
TopL-corrected,40,8.9734
TopL-corrected,50,6.2425
TopL-corrected,60,4.2525
TopL-corrected,80,2.9446
TopL-corrected,100,2.3245
TopL-corrected,150,1.825
TopL-corrected,200,1.5981
Random,0,84.8117
Random,5,80.2296
Random,10,81.5318
Random,15,74.5079
Random,20,76.2588
Random,30,73.9658
Random,40,68.4261
Random,50,64.65
Random,60,68.947
Random,80,59.3365
Random,100,52.1805
Random,150,38.8057
Random,200,30.2937
