test_network,method,spearman,kendall,ndcg_top,top_hit
email-Eu-core,degree,0.982,0.8817,0.9914,89
email-Eu-core,k-core,0.9841,0.8803,0.9618,86
email-Eu-core,PageRank,0.9649,0.8398,0.9819,85
email-Eu-core,betweenness,0.8988,0.7319,0.9382,73
email-Eu-core,XGBoost,0.9808,0.879,0.9885,91
Facebook,degree,0.7967,0.6211,0.7768,63
Facebook,k-core,0.8249,0.6571,0.9606,67
Facebook,PageRank,0.455,0.3144,0.1813,3
Facebook,betweenness,0.5952,0.4201,0.2019,5
Facebook,XGBoost,0.8569,0.6485,0.4783,1
US-power-grid,degree,0.6148,0.4238,0.6285,37
US-power-grid,k-core,0.5322,0.3089,0.8124,47
US-power-grid,PageRank,0.3914,0.2481,0.4117,15
US-power-grid,betweenness,0.4675,0.324,0.3773,10
US-power-grid,XGBoost,0.7848,0.6076,0.7176,47
OpenFlights,degree,0.771,0.5864,0.9725,86
OpenFlights,k-core,0.8046,0.6197,0.9405,73
OpenFlights,PageRank,0.4441,0.3127,0.8575,66
OpenFlights,betweenness,0.5618,0.3803,0.7548,51
OpenFlights,XGBoost,0.9138,0.7574,0.9418,79
