test_network,method,spearman,kendall,ndcg_top,top_hit
email-Eu-core,XGBoost,0.9808,0.879,0.9885,91
email-Eu-core,k-core,0.9841,0.8803,0.9618,86
email-Eu-core,degree,0.982,0.8817,0.9914,89
email-Eu-core,Fusion(XGB+k-core),0.9899,0.9108,0.9861,89
email-Eu-core,Fusion(XGB+degree),0.9902,0.9145,0.9947,93
Facebook,XGBoost,0.8569,0.6485,0.4783,1
Facebook,k-core,0.8249,0.6571,0.9606,67
Facebook,degree,0.7967,0.6211,0.7768,63
Facebook,Fusion(XGB+k-core),0.8989,0.7261,0.5463,2
Facebook,Fusion(XGB+degree),0.8946,0.7226,0.537,2
US-power-grid,XGBoost,0.7848,0.6076,0.7176,47
US-power-grid,k-core,0.5322,0.3089,0.8124,47
US-power-grid,degree,0.6148,0.4238,0.6285,37
US-power-grid,Fusion(XGB+k-core),0.7798,0.6037,0.862,58
US-power-grid,Fusion(XGB+degree),0.7479,0.5658,0.757,51
OpenFlights,XGBoost,0.9138,0.7574,0.9418,79
OpenFlights,k-core,0.8046,0.6197,0.9405,73
OpenFlights,degree,0.771,0.5864,0.9725,86
OpenFlights,Fusion(XGB+k-core),0.9173,0.7676,0.978,86
OpenFlights,Fusion(XGB+degree),0.9147,0.7614,0.9698,87
