test_network,method,spearman,kendall,ndcg_top,top_hit
email-Eu-core,XGBoost,0.9808,0.879,0.9885,91
email-Eu-core,k-core,0.9841,0.8803,0.9618,86
email-Eu-core,RRF(XGB+k-core),0.9898,0.9099,0.9834,90
Facebook,XGBoost,0.8569,0.6485,0.4783,1
Facebook,k-core,0.8249,0.6571,0.9606,67
Facebook,RRF(XGB+k-core),0.9016,0.7364,0.7095,28
US-power-grid,XGBoost,0.7848,0.6076,0.7176,47
US-power-grid,k-core,0.5322,0.3089,0.8124,47
US-power-grid,RRF(XGB+k-core),0.6992,0.5158,0.8438,57
OpenFlights,XGBoost,0.9138,0.7574,0.9418,79
OpenFlights,k-core,0.8046,0.6197,0.9405,73
OpenFlights,RRF(XGB+k-core),0.9137,0.7623,0.979,88
