node,mean_size
0,12.855
1,1.225
10,1.37
100,1.2
101,1.435
102,1.09
103,1.68
104,1.85
105,1.345
106,1.095
107,155.035
108,1.24
109,1.915
11,1.05
110,1.12
111,1.285
112,1.165
113,1.93
114,1.045
115,1.26
116,1.305
117,1.13
118,1.775
119,2.32
12,1.03
120,5.76
121,1.28
122,4.365
123,1.35
124,1.095
125,3.875
126,1.19
127,1.29
128,1.735
129,1.245
13,1.885
130,1.34
131,1.08
132,1.31
133,1.4
134,1.475
135,1.18
136,102.035
137,1.345
138,1.1
139,1.23
14,1.335
140,1.185
141,3.905
142,4.275
143,1.265
144,1.37
145,1.02
146,3.935
147,3.46
148,1.455
149,1.275
15,3.24
150,1.255
151,1.2
152,1.27
153,1.055
154,1.105
155,1.05
156,1.9
157,1.22
158,1.41
159,1.305
16,1.145
160,1.06
161,1.84
162,1.235
163,1.125
164,1.2
165,1.265
166,1.125
167,1.185
168,1.275
169,3.015
17,1.26
170,2.0
171,2.41
172,1.9
173,2.235
174,1.13
175,1.33
176,1.255
177,1.275
178,1.35
179,1.1
18,1.1
180,1.29
181,1.145
182,1.01
183,1.005
184,1.36
185,1.66
186,1.9
187,1.245
188,2.085
189,1.055
19,1.27
190,1.035
191,1.14
192,1.065
193,1.135
194,1.44
195,1.065
196,1.355
197,1.17
198,1.23
199,1.94
2,1.19
20,1.27
200,2.1
201,1.1
202,1.115
203,2.155
204,1.365
205,1.115
206,1.145
207,1.16
208,1.265
209,1.075
21,3.665
210,1.155
211,1.6
212,1.615
213,4.255
214,1.38
215,1.125
216,1.1
217,1.335
218,1.25
219,1.225
22,1.23
220,1.12
221,3.26
222,1.33
223,1.985
224,3.015
225,1.215
226,1.23
227,1.27
228,1.08
229,3.465
23,1.4
230,1.23
231,1.62
232,1.68
233,1.035
234,1.015
235,1.045
236,1.85
237,1.21
238,1.61
239,2.295
24,1.39
240,1.105
241,1.19
242,1.455
243,1.255
244,1.07
245,1.18
246,1.405
247,1.155
248,1.585
249,1.505
25,2.67
250,1.125
251,1.23
252,3.92
253,1.015
254,1.355
255,1.09
256,1.085
257,3.535
258,1.865
259,1.24
26,2.675
260,1.2
261,1.795
262,1.24
263,1.075
264,1.105
265,1.7
266,1.335
267,1.005
268,1.355
269,1.095
27,1.07
270,1.15
271,3.0
272,2.01
273,1.16
274,1.4
275,1.175
276,1.485
277,2.365
278,1.265
279,1.05
28,2.07
280,1.985
281,1.24
282,1.285
283,1.35
284,1.445
285,2.14
286,1.08
287,1.035
288,1.205
289,1.135
29,1.19
290,1.455
291,1.765
292,1.05
293,1.085
294,1.025
295,1.13
296,1.13
297,1.685
298,1.285
299,1.38
3,1.58
30,1.495
300,1.235
301,1.965
302,1.25
303,1.685
304,3.475
305,1.045
306,1.165
307,1.075
308,2.855
309,1.115
31,1.455
310,1.22
311,1.19
312,1.425
313,1.775
314,1.31
315,2.93
316,1.07
