node,mean_size
1,1.04
2,28.385
10,1.11
11,1.24
4,2.655
100,1.04
152,1.14
98,1.06
1000,10.84
219,193.58
503,209.565
1001,38.225
1015,2.32
1017,13.975
1018,5.49
296,198.545
362,93.945
65,256.915
66,183.375
720,54.085
731,22.16
808,57.225
1002,34.05
221,226.11
508,149.08
64,202.195
1003,2.51
652,48.38
1004,2.405
1005,2.56
414,12.005
1006,19.685
343,188.625
461,130.09
1007,22.255
464,134.18
1008,3.96
1009,4.2
101,2.66
102,1.075
103,2.605
86,4.235
87,1.15
1010,15.875
365,117.78
1011,22.17
468,93.71
527,136.09
528,139.385
536,97.45
581,91.57
1012,13.48
1013,12.65
1014,9.825
415,33.515
1016,1.025
1019,3.815
1024,5.36
410,122.54
210,1.095
99,2.87
1020,5.0
1031,1.06
1021,4.8
1029,5.41
943,18.39
1022,3.63
1023,3.845
1030,1.065
1032,1.05
1025,7.665
1033,2.235
1026,9.445
1034,8.81
1035,5.91
374,154.48
397,116.205
1027,3.9
767,48.88
803,68.085
1028,81.08
1037,39.47
1038,48.485
1040,101.79
1048,16.28
1049,14.675
1462,13.17
223,258.14
233,176.47
2743,3.76
2744,5.09
297,243.88
308,247.44
364,198.44
376,147.385
377,146.075
378,203.99
446,149.045
486,179.44
593,146.1
595,147.975
766,61.44
982,26.275
2858,2.34
2859,1.025
142,2.64
85,1.135
2772,3.835
1036,6.715
1510,17.835
2742,2.635
307,204.6
1043,19.115
594,107.265
1039,35.18
375,79.685
440,37.385
447,9.585
570,102.155
629,153.49
104,1.09
105,1.225
106,1.055
107,6.865
1047,19.765
1050,18.56
1190,61.335
1421,50.22
1426,101.785
1427,74.5
1428,70.885
1429,51.25
1431,79.28
1433,24.94
1442,26.67
1455,38.54
1464,26.695
1496,42.15
1498,38.335
1502,22.575
1505,7.18
1506,27.095
1507,22.155
1508,13.4
309,109.05
322,195.57
323,181.45
487,95.605
491,159.1
571,83.69
592,48.45
596,113.505
597,80.685
602,106.92
610,138.84
612,148.245
614,112.64
636,153.385
736,74.87
1041,1.015
1042,10.745
1434,6.785
1435,17.81
1436,16.36
1044,31.81
1045,20.045
1046,17.34
143,1.015
144,1.02
145,1.265
146,1.035
147,1.11
148,1.02
97,1.06
1051,23.51
1052,2.62
1053,2.72
1054,7.145
1079,2.47
1080,1.07
1083,1.025
1084,2.69
804,31.555
1055,5.265
1056,1.035
1057,3.88
1058,3.875
1059,8.62
1060,4.45
1061,1.05
1062,1.095
1063,1.1
1064,1.065
572,82.1
1065,2.44
1066,5.12
1067,8.84
1068,5.82
1069,4.96
113,88.25
126,123.155
91,152.83
1070,3.915
1071,6.575
1072,2.5
467,35.2
1073,3.745
1074,2.465
1075,5.195
1076,52.545
1077,2.485
1082,1.035
926,24.645
1078,1.07
108,10.685
109,1.06
110,2.67
51,225.645
76,25.83
1081,2.4
2774,1.015
1085,1.005
1086,60.55
243,216.48
292,213.97
331,205.015
379,219.83
481,239.4
506,202.42
604,109.48
625,88.745
663,125.27
1087,39.635
220,247.425
366,257.305
380,214.2
529,199.68
1088,16.4
1089,79.6
1215,38.75
1216,39.81
1224,53.855
134,219.925
135,181.18
138,183.365
176,173.37
227,148.0
237,207.975
239,202.41
267,221.965
301,111.87
302,105.63
411,227.755
67,242.35
807,90.555
1090,20.525
173,55.765
228,42.21
231,104.75
591,95.58
83,170.355
1091,25.42
1096,21.325
1686,12.79
1687,17.9
1689,8.115
1698,4.125
1702,2.725
313,85.75
598,109.315
626,113.645
1092,40.73
1294,39.485
1833,4.165
1834,3.845
1835,9.49
1837,2.085
1838,1.025
1839,2.395
1840,2.355
1841,1.01
1842,1.04
314,130.385
316,96.245
810,47.19
1093,29.08
1094,38.795
1845,4.24
1849,11.84
1866,6.09
1871,8.115
1878,1.035
1879,1.025
1880,1.055
1295,12.62
1296,15.615
1869,9.255
69,244.855
811,41.35
1095,21.915
1717,8.5
1731,12.775
1821,5.34
1823,10.8
1843,1.24
1887,1.235
1888,1.315
1889,1.33
1893,1.03
312,164.24
1170,34.835
1755,20.795
1097,100.745
1212,82.38
1285,96.545
178,149.555
1927,5.475
1928,5.33
1935,5.18
1936,54.965
1937,26.43
1938,4.025
1939,5.565
1941,3.815
1942,14.73
317,73.755
320,85.83
328,194.15
330,189.385
412,210.47
772,138.375
1098,9.875
1099,5.365
20,1.07
27,2.575
32,1.155
186,5.41
273,2.38
286,1.07
287,1.105
288,1.13
77,1.11
1100,5.655
514,37.955
1101,12.415
1103,23.64
740,33.62
1102,14.965
222,201.315
341,144.025
342,152.795
1104,4.115
797,16.24
1105,4.15
1106,12.39
1107,3.92
1108,8.64
295,161.935
1109,12.5
111,5.405
112,1.1
1110,8.18
1111,33.735
554,181.165
1112,27.345
434,178.755
1113,67.54
14,210.515
15,213.995
1534,43.15
1535,62.27
1542,39.285
1555,108.715
1557,20.07
1558,21.31
1559,33.05
1560,44.62
1586,21.505
1594,1.045
1595,2.505
1596,17.06
1597,4.005
1598,2.365
1601,5.605
1602,1.045
1603,3.89
1605,7.2
1606,1.025
1610,17.615
1611,2.605
1612,1.135
1613,6.785
1614,2.745
1615,12.83
1616,2.59
1617,8.305
1618,2.605
1619,18.57
1620,2.395
1621,4.01
1622,13.015
1623,1.065
1624,4.015
1625,2.515
1626,2.455
1627,19.405
1628,15.295
1629,5.585
1630,2.39
1631,3.69
1632,3.96
1633,3.795
259,235.99
262,197.715
265,119.41
620,194.16
623,219.115
624,98.71
628,149.975
