node,mean_size
1,7.365
2,7.035
3,10.945
4,5.2
10,2.375
11,4.595
100,3.965
160,5.6
237,2.61
239,2.065
99,4.79
1000,6.915
1004,8.565
1015,5.69
999,7.79
1001,7.815
1012,8.7
976,7.495
1002,11.235
1007,12.09
925,5.455
950,10.445
956,11.495
1003,8.975
951,8.88
996,10.935
975,6.72
997,9.26
1005,5.345
1023,3.635
1024,3.815
1006,5.29
1009,7.0
936,8.98
1008,11.495
1011,7.555
1014,10.54
995,10.65
1016,6.795
957,9.435
994,6.515
101,2.61
89,6.295
1010,6.515
937,10.215
1013,7.47
953,6.63
1017,3.2
1019,2.35
1020,1.68
978,5.1
1018,3.485
1021,1.835
1022,2.12
102,2.905
1025,2.06
1026,2.6
1027,2.15
1028,2.01
1029,3.62
1030,6.965
1031,2.475
103,6.36
104,10.61
1036,5.74
1057,13.55
1032,3.95
1033,3.675
1034,3.63
1035,5.565
1060,6.03
1101,6.72
1050,5.3
1051,3.61
1037,9.155
1038,5.03
1039,8.45
1040,8.065
1041,13.415
1086,6.765
163,7.855
194,9.265
248,4.44
249,4.545
250,6.06
251,10.22
1080,6.505
1083,7.325
1085,7.06
1120,5.14
1044,8.405
1046,7.1
1049,6.63
1081,9.585
1082,10.105
1136,9.24
1137,9.51
143,12.065
1042,7.355
1043,6.845
1045,6.34
1047,4.125
1048,5.015
1088,3.24
1089,5.51
195,6.005
1119,3.91
1134,2.155
140,5.87
105,6.455
159,5.765
179,8.385
1052,2.77
1053,6.88
1124,1.965
1126,1.995
1063,1.805
1061,11.235
1090,7.45
1054,8.57
1055,8.0
1056,4.64
1058,7.045
1059,8.595
1129,5.335
1076,7.685
1092,8.61
1104,10.155
1107,7.935
1128,5.36
1131,5.31
1132,6.36
1133,6.215
1130,4.76
1062,8.01
106,4.62
107,5.845
108,3.96
25,4.255
1103,6.86
1105,7.82
1064,7.28
1065,7.785
1066,7.875
1067,4.975
1068,5.46
1069,4.525
1070,8.875
1071,5.025
1072,6.38
1073,6.27
1074,5.645
1099,4.42
1113,3.91
1114,6.055
1112,4.215
188,3.435
70,8.535
1075,8.21
1077,6.115
1091,6.945
1106,3.845
1125,4.305
1150,4.88
1078,9.935
1079,11.87
1084,4.235
142,12.61
196,5.495
1111,4.57
1109,7.72
1140,9.475
