node,mean_size
3,2.3
4,1.02
13,12.69
15,1.02
16,1.035
17,1.07
26,5.075
27,1.025
30,260.465
35,1.06
41,1.32
43,41.215
57,66.3
73,1.04
80,1.05
81,1.035
84,1.115
86,41.185
88,148.42
95,1.08
97,1.015
102,5.845
106,12.235
114,168.94
117,37.445
119,1.26
120,1.055
124,1.09
155,51.785
157,1.39
164,53.49
172,1.355
178,118.415
179,1.01
184,4.375
189,1.285
229,134.22
230,1.025
231,1.02
242,1.09
276,17.1
277,1.02
278,16.68
283,5.35
284,1.07
289,4.815
291,15.89
293,34.085
294,1.07
295,1.265
296,28.28
297,1.045
298,1.03
302,3.155
303,1.02
304,14.215
310,1.215
319,5.72
320,1.115
321,1.005
333,1.235
334,4.77
335,1.02
342,1.225
346,8.775
347,1.04
349,2.005
350,1.05
352,25.895
353,2.29
357,18.625
358,1.075
384,40.275
385,1.25
386,222.975
411,9.165
418,9.44
420,82.945
421,5.235
423,5.58
424,1.05
425,1.17
426,1.06
427,1.215
461,53.295
463,19.99
465,2.725
492,126.835
494,173.735
496,1.075
497,1.04
498,1.015
501,1.025
503,10.645
506,1.015
507,1.155
508,1.27
517,1.365
518,9.965
529,234.105
530,1.115
535,64.565
542,150.81
543,1.065
555,52.53
560,1.065
561,9.03
566,8.15
568,1.04
569,1.58
572,1.11
573,28.24
577,9.24
598,61.56
599,1.57
602,1.02
603,33.045
604,1.07
623,31.245
624,1.0
635,4.935
636,1.01
640,10.755
642,1.395
643,1.02
645,106.985
646,4.505
654,16.21
655,9.135
661,1.09
663,1.015
665,10.375
680,8.44
722,163.65
725,1.0
728,5.225
729,1.15
730,1.06
746,1.13
747,1.175
748,1.025
749,32.875
751,4.59
754,4.035
762,1.03
764,1.08
766,23.94
768,1.05
772,7.795
773,1.2
782,39.09
783,1.05
784,96.46
789,12.895
790,5.42
791,4.84
811,121.09
812,22.24
813,1.185
815,1.47
816,23.755
822,66.83
824,2.255
837,375.33
839,67.31
843,7.74
867,1.27
871,29.375
872,1.075
874,1.125
884,63.845
885,1.04
887,1.05
889,1.035
890,1.215
891,7.61
895,47.275
896,4.19
897,1.015
898,1.105
899,1.03
904,1.475
916,206.76
1086,337.875
1095,8.335
1099,1.06
1102,17.395
1105,1.195
1112,1.21
1116,1.115
1119,1.045
1120,1.015
1121,1.33
1122,1.11
1123,1.015
1127,1.095
1128,1.03
1134,21.73
1155,189.62
1157,1.025
1158,1.82
1163,1.115
1178,21.41
1181,1.055
1183,1.055
1186,51.895
1187,8.835
1188,9.755
1216,5.39
1217,5.02
1218,16.45
1231,54.985
1235,28.495
1239,5.43
1240,1.14
1250,45.135
1255,29.415
1267,1.08
1324,354.73
1334,114.665
1339,1.185
1341,5.23
1351,42.635
1356,98.62
1366,7.23
1367,6.055
1368,4.615
1369,1.0
1370,51.765
1372,1.495
1374,1.065
1399,124.88
1400,1.02
1411,9.245
1418,1.125
1436,50.425
1438,1.035
1439,1.08
1444,5.66
1445,1.015
1446,1.06
1447,1.04
1451,1.09
1453,1.29
1456,1.105
1458,1.035
1461,12.65
1466,1.035
1482,105.555
1500,15.26
1501,1.11
1507,1.08
1509,1.015
1510,1.14
1513,30.92
1516,5.345
1518,15.525
1519,17.65
1556,33.415
1558,17.17
1559,8.455
1575,9.435
1582,13.5
1589,13.97
1602,33.495
1604,8.845
1625,60.785
1662,84.03
1663,250.15
1664,21.23
1677,188.685
1690,105.455
1691,1.07
1692,1.035
1697,45.415
1713,141.845
1776,297.885
1801,162.595
1804,1.075
1806,1.49
1807,1.11
1808,1.075
1820,4.05
1821,36.585
1826,1.255
1830,1.055
1831,1.12
1852,41.245
1867,26.535
1868,1.085
1870,42.195
1881,16.235
1883,8.25
1895,5.5
1897,3.545
1898,1.005
1903,11.56
1904,6.725
1917,139.9
1918,6.275
1932,1.23
1933,1.005
1949,206.115
1950,1.62
1957,6.045
1958,1.09
1964,4.75
1965,20.51
1968,5.515
1969,1.065
1984,1.13
1986,1.875
1987,1.02
1991,9.84
1999,1.27
2031,4.705
2033,1.13
2094,274.665
2109,13.57
2110,1.04
2111,15.805
2112,1.115
2114,1.085
2115,55.5
2117,12.38
2121,1.15
2124,1.035
2158,354.02
2159,4.41
2160,1.325
2161,1.105
2162,4.65
2164,17.905
2166,14.545
2167,9.0
2168,13.15
2175,4.355
2206,9.5
2211,18.785
2214,1.085
2217,1.54
2218,1.03
2219,8.315
2220,1.125
2237,18.635
2238,12.635
2240,4.54
2241,6.395
2253,66.355
2254,5.005
2255,1.04
2256,1.025
2261,1.115
2262,6.13
2263,1.105
2264,1.04
2277,8.75
2278,1.09
2280,1.055
2311,9.795
2312,11.645
2328,47.08
2329,105.415
2330,1.065
2331,1.025
2368,79.855
2372,12.95
2381,1.3
2389,8.5
2392,109.595
2417,350.09
2421,12.725
2423,4.515
2444,175.49
2445,1.035
2447,1.945
2448,1.115
2449,5.73
2478,251.635
2479,1.07
2486,87.02
2487,1.01
2508,1.46
2515,62.03
2518,77.115
2520,1.165
2533,1.04
2535,1.005
2545,58.56
2556,34.005
2588,101.9
2590,1.24
2591,1.01
2626,24.415
2627,8.665
2630,8.025
2633,279.695
2634,5.41
2637,1.015
2641,1.215
2642,4.99
2643,1.26
2645,5.75
2647,1.075
2648,1.02
2649,12.21
2653,1.205
2656,6.05
2657,1.035
2662,11.69
2676,76.85
2680,1.485
2682,1.03
2684,1.425
2685,1.015
2686,1.03
2689,36.695
2693,4.875
2699,5.855
2700,4.985
2702,1.14
2720,5.385
2736,302.22
2737,1.025
2738,1.135
2743,53.89
2744,4.91
2758,46.26
2759,1.035
2760,45.25
2765,1.37
2766,7.595
2789,1.42
2794,1.105
2796,1.05
2797,4.315
2803,128.59
2839,372.31
2844,12.135
2847,1.005
2852,5.61
2855,1.09
2856,1.63
2857,1.055
2858,1.005
2859,1.03
2889,65.605
2906,15.125
2910,1.065
2916,1.24
2917,1.07
2919,1.345
2924,25.2
2925,1.04
2926,8.36
2932,1.795
2962,84.865
2964,4.8
2965,1.04
2966,1.12
2968,1.27
2969,1.035
2984,72.49
2988,1.07
2989,1.02
3001,22.81
3003,1.05
3005,1.01
3008,1.42
3010,1.16
3012,1.04
3018,1.205
3028,110.66
3034,1.07
3043,21.435
3045,8.795
3046,1.115
3047,1.55
3067,125.105
3068,1.08
3069,1.05
3073,1.145
3087,1.33
3088,1.025
3102,98.445
3105,1.025
3108,1.025
3117,7.025
3121,1.06
3123,1.23
3124,9.93
3130,1.245
3136,50.75
3138,1.015
3141,1.02
3142,1.015
3147,20.965
3148,1.04
3149,1.085
3151,1.01
3160,5.24
3166,4.965
3167,4.595
3168,8.985
3169,1.01
3189,86.83
3190,39.18
3193,12.12
3194,12.495
3201,28.885
3203,1.105
3204,1.03
3207,5.565
3209,1.42
3210,1.01
3232,16.04
3233,1.02
3235,4.69
3241,1.18
3242,21.82
3247,1.065
3248,4.185
3269,42.055
3270,20.045
3272,1.12
3276,1.05
3289,13.515
3293,1.05
3328,26.465
3329,1.01
3330,1.12
3331,1.025
3334,13.925
3335,22.365
3336,30.7
3337,26.09
3365,273.445
3377,76.455
3382,1.06
3393,58.68
3420,223.92
3421,5.32
3423,1.045
3430,1.325
3431,4.3
3432,1.15
3433,1.035
3449,5.63
3468,60.085
3479,1.07
3480,1.1
3493,38.13
3503,1.415
3504,1.495
3508,5.145
3510,1.085
3518,12.77
3519,1.09
