node,mean_size
0,120.284
1,139.01
101,83.676
103,133.9
120,57.098
146,89.912
148,48.106
166,254.858
17,217.304
177,138.88
178,78.37
18,171.06
215,207.836
218,165.03
221,174.908
222,185.14
223,154.562
226,192.08
238,114.788
248,80.598
250,101.39
266,60.034
268,117.056
283,252.846
297,56.26
309,117.212
313,52.458
316,116.78
368,132.63
377,220.314
380,107.26
459,180.618
498,160.544
5,238.124
560,141.854
581,96.368
6,214.468
64,254.546
65,182.828
73,92.712
734,46.972
74,203.99
88,108.77
106,256.944
121,276.018
127,109.47
128,256.246
142,250.216
147,169.816
155,192.346
187,184.09
189,173.776
199,146.492
21,249.418
224,56.066
225,99.71
232,177.142
254,219.562
255,192.764
280,240.94
284,133.758
310,124.284
317,70.776
351,165.418
450,183.932
495,198.722
52,69.204
537,120.066
548,134.362
549,164.934
568,102.864
616,23.002
641,68.496
726,85.846
82,278.548
84,227.088
85,107.482
979,21.314
10,144.552
105,254.164
11,160.874
13,251.994
133,225.266
134,74.076
143,146.148
160,279.666
173,206.162
20,193.278
25,112.8
256,253.76
260,78.686
271,188.896
282,254.696
300,192.976
306,160.584
324,49.598
325,89.986
326,136.654
327,110.432
329,222.606
339,152.086
340,227.296
36,143.836
366,221.66
400,120.206
405,241.058
409,182.926
434,270.104
44,212.654
508,117.08
509,145.448
535,22.536
564,106.438
638,78.212
69,160.974
728,53.98
777,56.676
86,271.556
89,176.046
96,224.796
971,160.13
100,108.152
102,59.904
107,272.196
117,63.564
124,104.208
125,80.788
185,47.646
262,67.908
301,220.23
323,88.64
353,112.234
354,39.832
371,213.582
404,198.252
424,252.81
429,77.804
494,223.146
51,160.36
592,56.408
618,26.196
62,266.314
640,41.154
662,69.376
687,30.168
708,58.69
768,37.494
820,245.078
92,110.784
935,12.956
937,21.284
97,52.204
98,66.582
99,92.624
1000,20.034
14,184.766
206,138.348
292,116.708
918,77.69
1001,28.954
193,84.334
194,131.08
2,193.38
3,188.866
4,201.802
803,61.364
826,75.284
832,83.204
990,66.652
1002,3.362
1003,4.578
258,150.048
1004,3.31
55,121.526
131,161.474
211,251.446
233,185.518
419,220.574
83,253.83
192,55.254
411,208.002
412,164.918
516,41.762
517,35.83
743,2.758
812,157.752
104,94.378
122,74.95
123,108.048
150,106.984
157,153.954
162,173.704
179,156.076
181,146.872
182,110.52
201,152.088
295,168.73
296,197.574
320,126.422
321,123.794
342,160.874
352,83.664
376,120.03
378,78.262
379,125.93
385,77.708
389,111.836
390,117.938
392,58.662
393,203.362
394,85.654
395,119.858
397,93.044
526,168.538
53,124.092
546,227.08
582,76.562
60,127.548
61,155.552
741,18.988
288,118.774
387,108.48
388,88.698
114,253.25
115,251.878
129,260.932
145,207.134
152,189.204
153,172.72
154,172.07
158,146.258
159,119.68
16,194.514
161,124.212
163,170.348
165,233.796
169,242.21
170,215.9
180,191.014
183,265.322
184,216.024
190,149.604
203,133.438
210,212.022
212,246.636
236,159.528
242,111.45
243,136.2
249,264.98
252,234.176
269,199.92
28,228.492
281,172.582
285,207.264
303,231.052
314,156.674
333,254.22
346,100.046
347,63.896
355,184.21
357,141.91
358,104.038
360,86.566
362,192.17
363,188.256
367,218.718
375,172.406
384,58.51
41,217.814
42,202.48
420,243.642
422,146.174
427,167.694
431,85.55
441,140.554
453,125.886
473,228.186
474,211.096
478,127.396
48,139.092
489,127.966
492,115.51
493,197.014
506,155.034
518,197.85
533,248.352
543,140.238
544,108.366
550,125.168
569,90.116
58,234.57
589,111.69
601,131.516
607,114.722
612,155.254
654,127.568
667,103.888
747,133.148
748,111.55
77,86.916
771,44.308
80,186.866
81,244.934
856,175.944
859,193.09
87,254.816
914,74.65
113,202.514
132,171.026
188,142.59
230,96.79
253,145.276
259,90.582
278,175.106
279,40.918
287,79.594
290,213.086
298,56.348
311,118.51
356,159.226
365,222.204
372,97.918
373,137.882
454,48.994
46,189.742
462,112.078
467,97.584
480,159.488
486,195.818
490,144.182
519,68.068
531,168.64
551,71.63
614,9.272
615,168.322
642,101.36
671,97.844
68,157.348
690,77.274
695,95.072
717,41.128
72,24.754
756,83.606
828,119.81
885,21.442
90,94.646
932,223.066
137,209.952
139,103.248
141,170.778
164,126.044
172,211.052
174,195.196
19,166.796
207,102.612
209,192.54
214,142.37
216,79.2
23,195.752
237,97.368
31,144.794
318,175.768
319,40.586
338,179.792
343,81.386
35,168.698
361,155.044
401,137.72
410,60.23
417,167.782
418,112.198
428,63.81
430,158.608
438,199.696
448,103.86
45,127.372
468,91.914
47,148.638
481,146.326
532,69.402
54,137.1
541,84.578
57,159.082
591,45.814
597,52.322
63,242.076
665,110.458
70,70.628
702,18.006
704,9.428
730,66.67
736,31.106
769,13.32
78,95.236
79,138.024
8,101.1
809,132.87
834,8.792
837,7.296
896,101.58
91,103.358
954,44.712
963,114.874
108,125.126
109,29.28
110,36.728
111,28.954
112,66.096
328,51.976
469,56.888
476,33.95
477,36.202
514,35.274
652,29.028
66,104.24
67,36.688
93,199.104
12,136.006
213,89.432
22,52.982
240,69.2
247,38.234
265,72.924
270,77.01
293,50.362
359,59.54
406,55.176
421,123.892
452,87.838
466,105.354
496,64.826
502,57.404
504,96.894
525,80.208
529,87.936
530,39.068
555,50.932
566,45.986
573,62.326
602,72.014
608,57.212
611,101.356
621,56.208
661,112.764
666,76.856
699,43.552
7,150.536
700,63.14
720,53.996
754,69.798
804,38.724
956,58.206
37,98.326
116,191.732
151,135.292
168,183.88
171,140.504
176,98.682
220,62.874
245,143.01
26,97.152
263,179.854
29,170.638
32,95.442
33,98.108
370,103.02
38,119.778
40,136.538
423,124.854
426,166.104
442,101.984
443,145.284
444,100.892
455,146.386
483,133.99
485,102.686
527,66.34
547,86.118
556,27.618
725,51.51
76,77.236
847,82.694
919,38.1
925,66.614
950,140.898
976,73.534
981,77.07
983,19.28
208,148.556
229,105.822
234,130.02
24,100.97
261,136.132
30,177.884
307,78.634
39,121.77
464,150.872
609,16.568
655,103.696
686,49.038
767,32.416
892,87.068
895,17.034
135,126.058
136,84.098
251,118.89
302,95.706
336,122.444
337,133.746
436,12.462
437,116.838
439,21.996
460,157.312
513,153.106
644,61.676
753,64.826
816,63.844
860,64.684
883,37.558
900,87.404
978,15.864
987,44.15
118,97.83
27,154.568
34,80.362
470,82.954
491,50.114
613,18.576
461,66.464
511,56.656
651,58.616
119,45.36
980,45.174
264,82.296
267,38.31
510,59.104
565,19.74
570,42.84
674,42.538
681,70.342
707,82.626
739,30.958
823,43.546
957,17.228
996,4.334
758,58.764
94,105.788
130,113.896
144,64.096
15,134.84
186,109.238
191,129.798
217,79.206
219,78.534
228,78.832
308,143.09
345,84.526
425,73.954
432,23.13
433,66.58
458,148.268
520,144.018
540,45.816
552,125.27
594,31.492
647,55.824
649,31.102
693,32.742
71,57.582
714,89.932
719,44.614
752,31.406
759,8.912
792,4.018
796,22.032
890,9.782
156,62.414
167,155.55
231,140.94
349,60.03
515,123.658
656,29.206
95,134.018
275,89.426
335,44.802
706,24.396
838,5.64
908,69.046
126,105.672
138,108.112
286,137.664
408,140.818
56,130.318
586,85.662
635,40.558
698,87.472
723,29.028
227,70.932
435,39.126
196,98.378
197,116.868
198,119.986
200,85.726
204,106.35
205,93.396
445,113.938
557,71.864
576,83.074
593,108.956
751,34.404
917,79.726
940,7.982
955,25.688
970,28.546
974,30.104
291,111.266
294,68.584
399,77.58
403,74.262
413,86.36
440,165.322
457,84.16
482,131.144
484,75.41
542,65.01
562,92.292
563,63.584
572,97.492
585,42.78
600,41.7
623,31.99
694,22.056
789,49.702
802,32.136
813,56.984
840,79.478
909,41.148
922,59.06
936,80.406
992,4.978
239,44.536
244,81.688
272,120.112
273,81.572
304,114.306
305,160.536
322,54.702
350,67.256
446,72.046
497,59.694
579,51.922
588,69.778
590,78.468
624,41.314
679,67.778
685,129.826
785,19.812
949,85.242
257,68.43
277,69.428
692,5.576
776,75.9
604,35.514
646,16.834
683,34.342
738,118.574
59,129.14
599,53.792
807,25.282
402,35.858
545,81.07
844,13.822
521,36.384
523,51.674
553,26.12
554,37.396
598,25.972
766,11.902
867,17.15
75,66.606
175,41.702
571,76.966
663,65.892
815,72.67
877,40.568
880,102.668
901,8.6
982,5.54
921,38.76
140,106.142
274,67.284
334,42.472
447,74.774
819,10.538
933,37.788
289,30.704
312,105.914
465,51.312
797,21.132
617,10.166
735,23.026
929,24.574
246,41.58
332,61.844
407,68.994
451,36.422
488,25.034
499,92.716
500,44.752
672,52.292
729,21.5
9,64.202
913,52.124
951,23.592
559,37.644
577,61.504
610,54.41
783,29.972
299,71.566
999,5.466
779,9.732
149,80.332
344,34.898
381,74.816
575,33.328
760,11.126
364,34.166
49,45.122
50,43.84
984,11.912
512,24.326
849,31.194
855,17.948
645,14.878
697,10.898
906,26.712
907,31.266
382,23.53
383,15.266
386,37.758
391,60.702
396,52.24
398,14.63
668,5.196
851,28.78
235,77.564
241,60.716
639,20.74
926,35.264
927,27.91
930,31.612
931,35.476
631,9.732
195,111.43
369,32.238
471,60.922
501,38.666
539,25.28
676,14.556
724,10.446
778,19.652
786,37.97
799,21.872
818,67.792
821,13.628
857,23.928
882,12.446
643,44.27
934,17.102
331,77.568
374,46.768
536,50.444
664,36.968
742,12.802
749,22.626
276,33.774
764,32.19
822,69.612
829,16.15
315,31.916
341,44.504
696,33.566
872,35.992
875,8.422
416,11.246
538,22.588
854,32.728
479,9.414
629,9.15
905,25.38
869,20.584
852,12.066
