node,mean_infected_time
0,62.33
1,6.49
10,8.23
100,6.66
101,7.24
102,6.17
103,7.46
104,10.19
105,6.63
106,6.41
107,1111.44
108,8.02
109,8.12
11,4.87
110,5.99
111,5.98
112,5.95
113,9.67
114,4.71
115,8.23
116,7.83
117,4.02
118,15.07
119,8.78
12,5.27
120,4.23
121,5.83
122,11.02
123,6.93
124,4.71
125,6.47
126,6.92
127,5.94
128,6.38
129,5.33
13,7.86
130,5.71
131,6.69
132,7.21
133,8.09
134,8.62
135,4.79
136,371.87
137,6.18
138,5.12
139,6.55
14,11.61
140,5.78
141,7.67
142,9.2
143,5.96
144,5.87
145,5.66
146,7.63
147,5.29
148,7.22
149,6.03
15,5.81
150,5.6
151,6.37
152,5.6
153,6.41
154,4.66
155,4.99
156,7.05
157,5.43
158,5.95
159,6.65
16,5.79
160,5.82
161,9.49
162,6.53
163,6.07
164,5.23
165,6.61
166,6.75
167,5.64
168,6.17
169,11.32
17,6.9
170,11.41
171,25.29
172,7.49
173,7.67
174,4.42
175,6.95
176,6.19
177,5.41
178,7.28
179,5.22
18,4.97
180,8.94
181,6.62
182,5.09
183,5.79
184,6.91
185,8.71
186,12.41
187,7.5
188,9.71
189,5.16
19,8.24
190,6.88
191,5.86
192,7.52
193,5.33
194,6.81
195,5.71
196,4.85
197,7.79
198,8.33
199,8.37
2,6.44
20,5.27
200,10.83
201,5.23
202,6.11
203,11.42
204,6.0
205,4.56
206,5.83
207,7.45
208,5.84
209,5.46
21,21.47
210,5.01
211,9.07
212,6.12
213,35.54
214,6.33
215,5.22
216,5.24
217,4.81
218,5.7
219,5.69
22,5.23
220,5.6
221,5.93
222,5.58
223,9.02
224,10.49
225,6.94
226,6.42
227,6.7
228,6.64
229,8.95
23,6.3
230,5.18
231,7.47
232,8.01
233,5.09
234,7.0
235,5.28
236,8.19
237,6.52
238,8.12
239,13.7
24,6.36
240,5.83
241,4.32
242,5.13
243,3.9
244,6.22
245,5.21
246,5.85
247,5.53
248,6.21
249,8.72
25,12.73
250,6.02
251,6.4
252,11.05
253,6.05
254,6.88
255,4.5
256,5.74
257,29.32
258,5.96
259,5.49
26,15.22
260,5.39
261,9.27
262,5.17
263,6.61
264,4.96
265,10.5
266,7.4
267,5.36
268,8.14
269,6.21
27,6.62
270,6.29
271,13.43
272,9.66
273,4.91
274,6.91
275,5.44
276,8.74
277,16.9
278,8.05
279,5.05
28,5.21
280,9.31
281,9.41
282,4.88
283,5.44
284,6.12
285,9.24
286,4.75
287,5.29
288,5.19
289,6.31
29,5.91
290,21.69
291,10.33
292,4.92
293,6.6
294,5.36
295,6.19
296,5.7
297,7.39
298,6.09
299,7.18
3,5.9
30,8.28
300,4.96
301,4.63
302,6.78
303,7.29
304,14.05
305,6.15
306,5.58
307,5.31
308,10.45
309,5.76
31,8.49
310,6.83
311,6.33
312,8.57
313,9.88
314,6.94
315,10.41
316,6.42
317,4.81
318,7.86
319,5.72
32,6.17
320,6.26
321,5.34
322,15.42
323,9.25
324,7.63
325,9.2
326,5.63
327,6.56
328,6.75
329,7.27
33,5.25
330,6.07
331,6.92
332,15.72
333,7.08
334,17.83
335,4.93
336,4.94
337,5.21
338,6.02
339,9.01
34,7.17
340,5.35
341,12.21
342,10.1
343,8.5
344,8.36
345,7.66
346,8.12
347,6.71
35,5.59
36,6.6
37,4.68
38,6.04
39,7.44
4,6.61
40,11.41
41,6.74
42,4.01
43,6.7
44,4.63
45,5.93
46,7.7
47,5.25
48,7.63
49,5.57
5,7.55
50,6.62
51,5.31
52,4.69
53,6.24
54,6.26
55,8.07
56,10.87
57,6.05
58,72.74
59,6.11
6,4.77
60,6.07
61,4.91
62,7.96
63,6.21
64,5.72
65,6.68
66,7.56
67,30.1
68,5.67
69,6.76
7,10.38
70,5.08
71,5.25
72,7.69
73,5.94
74,7.1
75,7.05
76,5.35
77,5.35
78,5.23
79,8.27
8,6.29
80,7.89
81,5.21
82,12.11
83,12.4
84,6.51
85,5.86
86,5.04
87,6.68
88,7.12
89,5.55
9,12.42
90,5.44
91,6.2
92,8.54
93,5.97
94,5.89
95,6.04
96,5.06
97,4.89
98,11.78
99,6.48
1000,14.27
1010,65.81
1127,17.49
1134,13.04
1228,27.73
1304,7.94
1474,19.72
1640,4.85
1667,6.87
1703,33.01
1725,36.48
1759,33.64
1840,12.4
924,11.97
974,31.35
985,5.4
1001,96.21
1080,70.33
1095,9.7
1114,73.51
1124,420.78
1155,99.47
1179,17.73
1180,250.53
1207,352.05
1217,87.92
1237,71.12
1349,26.56
1352,762.08
1357,24.11
1358,24.18
1374,70.8
1397,20.7
1422,21.85
1427,71.88
1487,31.26
1506,9.07
1512,50.5
1536,99.64
1542,215.11
1543,50.69
1616,32.6
1673,37.08
1692,28.59
1740,70.21
1767,51.47
1844,56.98
366,65.09
483,89.71
484,99.84
606,87.49
637,48.51
651,38.64
905,27.84
936,46.62
1002,6.34
1105,15.26
1208,39.1
1890,19.32
1003,293.49
1004,448.25
1054,221.34
1059,706.46
1075,370.65
1076,552.13
1079,436.29
1086,561.01
1112,195.69
1126,634.14
1175,422.17
1184,582.45
1191,357.03
1242,319.01
1250,501.61
1255,613.49
1272,339.41
1293,267.43
1305,375.98
1331,547.5
1339,383.27
1340,272.28
1367,597.01
1376,718.44
1380,503.76
1390,707.43
1391,430.81
1416,583.82
1420,688.63
1431,646.69
1435,117.87
1480,333.65
1484,82.81
1488,552.03
1513,206.9
1516,692.75
1520,467.25
1523,208.17
1539,437.84
1540,166.36
1557,686.83
1559,751.51
1563,353.11
1589,751.01
1597,484.36
1598,633.84
1600,480.88
1612,686.77
1613,696.74
1614,309.24
1618,85.28
1622,562.12
1623,573.6
1637,339.4
1639,362.43
1641,18.12
1644,225.87
1652,394.38
1653,302.74
1659,367.9
1662,627.53
1663,752.73
1683,455.15
1689,539.12
1707,629.98
1712,463.74
1717,516.96
1721,379.57
1724,271.96
1737,263.51
1741,317.62
1746,645.54
1750,517.5
1752,581.02
1765,221.09
1779,34.93
1789,329.1
1795,213.87
1799,552.11
1800,612.61
1809,381.27
1816,472.37
1819,436.17
1827,650.63
1835,567.33
1843,168.89
1851,122.77
1867,484.48
1877,222.14
1888,677.03
906,165.99
925,562.47
946,440.53
967,471.82
1017,560.65
1078,583.98
1091,31.66
1092,259.01
1101,499.53
1128,421.24
1146,489.73
1149,442.33
1163,285.1
1181,456.27
1185,619.29
1198,346.22
1199,855.11
1209,393.38
1211,563.94
1267,485.19
1287,299.11
1289,481.21
1290,354.28
1291,491.64
1302,355.24
1330,405.43
1335,423.38
1344,348.1
1375,388.3
1399,586.18
1437,177.85
1467,502.7
1471,590.12
1491,468.38
1522,571.6
1524,122.54
1532,120.43
1538,342.83
1547,382.44
1554,624.44
1584,721.42
1603,463.94
1610,613.63
1617,542.83
1620,384.95
1621,739.85
1632,216.23
1643,333.08
1688,368.05
1714,720.19
1730,904.29
1735,444.17
1736,473.6
1757,522.68
1796,248.92
1804,596.65
1810,432.11
1833,630.64
1842,503.62
1849,645.82
1879,486.91
1886,415.17
916,547.82
952,389.14
1005,5.76
1089,64.2
1213,6.17
1259,29.4
1415,36.9
1469,14.44
1504,86.89
1507,26.31
1624,17.76
1672,19.0
1783,73.16
964,7.59
1006,496.8
1024,268.33
1039,108.34
1040,313.29
1063,92.28
1069,34.94
1083,458.82
1107,579.3
1123,169.26
1125,452.45
1130,253.1
1132,442.46
1153,481.36
1156,392.2
1172,372.32
1201,248.05
1214,427.43
1219,186.12
1222,541.66
1230,462.58
1238,462.0
1256,515.4
