node,mean_infected_time
1,5.94
2,182.15
10,5.81
11,43.05
4,5.49
100,4.97
152,6.21
98,5.01
1000,58.91
219,1889.3
503,1647.41
1001,219.43
1015,5.09
1017,198.24
1018,5.67
296,2035.53
362,429.76
65,2752.87
66,1676.73
720,459.83
731,200.54
808,371.25
1002,170.99
221,1993.84
508,1182.04
64,2116.29
1003,28.74
652,354.32
1004,5.16
1005,5.14
414,55.39
1006,105.78
343,1116.83
461,999.41
1007,110.53
464,872.83
1008,5.46
1009,4.55
101,6.86
102,6.31
103,5.17
86,6.39
87,18.91
1010,280.28
365,1408.43
1011,112.5
468,723.42
527,798.85
528,1139.46
536,827.74
581,631.1
1012,140.49
1013,71.41
1014,36.73
415,190.61
1016,4.56
1019,6.15
1024,5.75
410,677.09
210,5.63
99,48.1
1020,70.54
1031,5.46
1021,49.14
1029,6.37
943,136.8
1022,59.76
1023,4.97
1030,5.44
1032,5.19
1025,18.72
1033,5.36
1026,69.62
1034,5.78
1035,6.04
374,1442.13
397,727.31
1027,80.63
767,457.81
803,496.5
1028,616.8
1037,233.99
1038,424.3
1040,743.49
1048,91.45
1049,141.12
1462,118.27
223,2745.56
233,1485.95
2743,8.46
2744,45.53
297,2082.51
308,2167.62
364,1719.34
376,1283.72
377,1032.87
378,1793.81
446,1555.07
486,1130.52
593,1025.56
595,1340.01
766,393.73
982,119.34
2858,4.89
2859,5.58
142,5.89
85,6.16
2772,50.66
1036,23.5
1510,135.12
2742,44.51
307,1681.99
1043,80.57
594,695.78
1039,241.09
375,711.24
440,399.8
447,51.27
570,769.39
629,999.61
104,5.43
105,7.07
106,5.23
107,68.98
1047,172.81
1050,161.19
1190,211.22
1421,299.02
1426,512.89
1427,552.9
1428,416.38
1429,297.86
1431,319.23
1433,134.19
1442,187.06
1455,292.63
1464,198.16
1496,358.45
1498,361.06
1502,235.83
1505,65.94
1506,22.06
1507,100.53
1508,131.88
309,933.43
322,1769.04
323,1565.72
487,781.03
491,1052.29
571,518.41
592,560.64
596,781.55
597,834.74
602,638.09
610,1211.09
612,810.9
614,832.92
636,1222.32
736,429.78
1041,5.33
1042,4.88
1434,81.22
1435,324.14
1436,125.85
1044,190.78
1045,260.22
1046,57.73
143,5.71
144,4.27
145,5.25
146,4.03
147,4.95
148,4.91
97,5.49
1051,150.07
1052,34.04
1053,5.32
1054,25.19
1079,9.28
1080,4.78
1083,5.88
1084,5.48
804,200.65
1055,4.93
1056,5.66
1057,4.8
1058,26.67
1059,131.23
1060,123.45
1061,4.61
1062,5.32
1063,4.52
1064,5.45
572,642.46
1065,5.12
1066,48.27
1067,8.72
1068,26.52
1069,26.81
113,324.14
126,964.8
91,1132.78
1070,4.98
1071,37.77
1072,5.16
467,226.65
1073,6.35
1074,40.48
1075,6.33
1076,268.94
1077,27.73
1082,4.96
926,301.22
1078,23.85
108,19.37
109,5.09
110,5.54
51,2052.03
76,137.78
1081,31.74
2774,5.0
1085,5.21
1086,491.9
243,1862.71
292,1555.48
331,1682.52
379,2202.23
481,2142.05
506,1818.34
604,1048.26
625,705.37
663,1033.48
1087,227.03
220,2851.24
366,2754.4
380,1818.0
529,1233.65
1088,313.22
1089,674.57
1215,223.28
1216,237.56
1224,309.29
134,1855.39
135,1488.35
138,1189.02
176,1410.41
227,1268.69
237,1848.36
239,1694.24
267,2110.01
301,622.98
302,633.93
411,1988.68
67,2149.38
807,874.72
1090,66.43
173,605.8
228,232.38
231,599.67
591,810.93
83,1268.05
1091,76.97
1096,370.38
1686,43.33
1687,117.39
1689,53.37
1698,81.63
1702,6.33
313,398.03
598,838.06
626,957.38
1092,275.12
1294,272.65
1833,4.77
1834,15.71
1835,4.46
1837,46.88
1838,4.64
1839,28.77
1840,6.34
1841,4.69
1842,63.99
314,907.74
316,807.62
810,268.21
1093,176.61
1094,139.68
1845,10.71
1849,31.43
1866,62.68
1871,5.56
1878,5.18
1879,7.12
1880,3.97
1295,140.57
1296,240.64
1869,25.57
69,2320.13
811,365.78
1095,209.31
1717,124.94
1731,110.02
1821,7.5
1823,7.81
1843,6.58
1887,5.1
1888,6.07
1889,12.35
1893,4.78
312,1151.32
1170,250.36
1755,68.16
1097,799.42
1212,657.0
1285,522.73
178,1018.35
1927,53.33
1928,46.51
1935,41.1
1936,704.95
1937,219.67
1938,49.1
1939,60.52
1941,4.84
1942,7.66
317,421.27
320,821.78
328,1282.99
330,1303.41
412,1361.28
772,829.58
1098,5.29
1099,55.07
20,4.75
27,22.98
32,5.28
186,71.32
273,6.1
286,5.95
287,6.04
288,5.49
77,5.36
1100,133.14
514,199.15
1101,90.98
1103,152.5
740,416.82
1102,32.63
222,1642.14
341,1422.14
342,1229.89
1104,19.6
797,104.3
1105,4.95
1106,5.2
1107,54.12
1108,76.31
295,1211.89
1109,141.51
111,5.08
112,5.5
1110,107.59
1111,413.62
554,1569.04
1112,252.64
434,1072.42
1113,586.42
14,1855.43
15,1874.49
1534,121.14
1535,322.4
1542,143.13
1555,678.06
1557,204.88
1558,119.61
1559,199.19
1560,204.61
1586,64.99
1594,4.81
1595,31.08
1596,76.96
1597,5.92
1598,7.19
1601,68.32
1602,5.27
1603,53.73
1605,83.94
1606,5.05
1610,95.62
1611,13.25
1612,5.42
1613,92.73
1614,6.03
1615,169.47
1616,5.49
1617,60.4
1618,4.48
1619,34.16
1620,27.33
1621,4.84
1622,46.0
1623,6.54
1624,4.88
1625,5.03
1626,4.17
1627,74.4
1628,14.54
1629,5.56
1630,5.29
1631,5.74
1632,54.73
1633,51.24
259,2191.04
262,1634.06
265,785.86
620,1556.51
623,1696.17
624,781.79
628,1022.28
1114,981.14
1213,692.85
1252,613.25
1254,415.94
1256,555.44
1281,456.42
130,609.19
131,687.99
132,1436.44
133,1420.78
137,1267.5
1576,217.3
215,852.75
238,1271.81
241,1328.46
2431,422.27
2447,396.69
2448,340.14
2452,339.61
2453,403.71
2454,489.49
266,795.6
324,1403.17
325,708.42
326,739.63
68,1323.29
773,1204.32
816,689.32
1115,488.82
242,711.47
1116,381.9
1958,166.82
373,2325.71
1117,60.45
1118,5.16
1119,71.26
1733,50.11
235,100.32
124,5.39
1120,61.54
369,1242.3
433,577.51
1121,88.54
1122,61.83
1123,5.39
1124,116.64
1132,101.36
522,902.59
548,1056.79
574,739.77
59,2844.55
806,88.98
1125,53.51
1130,5.17
1126,5.82
1127,72.98
1128,25.8
1131,56.77
521,449.74
1129,5.51
114,5.29
115,375.6
116,85.4
117,20.74
118,551.12
119,263.04
120,80.7
121,5.31
122,287.97
123,309.16
125,35.02
127,171.27
128,981.58
129,355.02
136,353.99
139,5.61
57,2786.48
88,36.03
90,50.81
1133,43.52
1134,63.01
1135,34.16
1136,5.48
1137,51.84
532,1249.39
1138,127.6
1139,5.13
443,1136.37
475,673.02
1140,4.74
1141,37.28
1142,148.89
444,1424.29
445,1943.06
476,1227.73
477,1509.76
1143,180.22
534,1781.05
654,988.26
1144,65.61
1145,71.97
1146,110.95
483,1597.89
1147,70.41
224,1867.74
1148,204.28
478,1646.23
1149,59.95
225,2491.09
480,928.68
182,18.04
183,101.49
1150,243.39
607,623.35
1151,36.78
293,2283.62
1152,33.12
1153,79.54
537,485.47
1154,398.33
1157,159.63
1193,289.11
1197,242.34
1957,291.94
1960,181.85
1996,115.57
556,820.17
609,619.51
611,280.9
630,489.32
633,540.28
1155,4.62
1156,43.31
1158,5.43
1995,216.75
2009,5.19
606,507.93
1159,39.4
188,5.36
1160,100.5
294,298.55
1161,5.8
1162,70.08
1163,16.01
1164,4.9
1165,20.6
1166,120.6
1167,6.54
1168,75.09
631,1214.59
1169,425.21
1171,131.98
1172,173.02
1173,202.05
1293,160.09
1716,75.99
1724,16.15
1725,73.29
1726,113.32
1728,74.9
1732,105.43
1735,10.09
1737,12.18
1746,195.9
1748,10.56
1756,69.41
1757,148.6
1758,5.23
1759,81.51
1760,41.53
1761,95.29
1762,6.16
1763,7.52
1764,99.55
1765,80.91
1766,123.15
1767,103.23
1768,5.29
1769,9.56
1770,24.22
1771,5.82
1772,5.79
2939,6.08
319,796.92
599,96.33
1741,6.94
1745,5.98
1747,32.29
1778,106.29
1779,52.28
1742,9.6
1749,13.9
1775,16.19
1776,107.16
1787,5.27
1803,43.79
1801,5.12
1174,4.6
1175,82.86
1176,28.91
1177,58.21
1178,5.21
1179,30.16
167,1177.83
170,519.52
184,4.79
195,79.04
196,143.87
197,4.86
298,223.57
53,3066.73
74,5.86
1180,362.36
1205,42.89
551,670.5
552,1291.38
553,823.32
582,512.52
1181,53.01
1182,32.09
1183,93.84
1184,76.48
1185,117.21
1186,133.69
1187,70.08
1188,244.03
1189,40.89
1191,216.59
1196,419.5
1432,223.77
1449,224.93
1450,7.32
1451,193.58
1465,6.15
1467,116.47
1468,142.77
1469,94.43
1470,4.77
1472,36.66
1478,4.87
1484,164.08
1192,431.45
1422,564.13
1955,227.63
1982,281.14
1998,251.66
2015,33.9
2024,5.34
635,173.98
1194,249.54
1984,61.67
555,1103.11
1195,48.71
1415,158.49
1417,58.5
1452,5.62
1453,16.87
1460,5.74
1466,5.91
1471,5.87
1475,63.44
1477,82.04
1483,5.44
1485,7.21
1487,5.29
310,917.35
1945,206.64
1948,142.41
