node,mean_infected_time
1,214.99
2,169.52
3,428.44
4,124.35
10,34.83
11,137.35
100,125.26
160,114.66
237,49.02
239,58.36
99,135.0
1000,154.82
1004,303.1
1015,135.97
999,213.52
1001,205.87
1012,309.04
976,297.6
1002,360.43
1007,482.36
925,203.48
950,340.0
956,343.37
1003,344.87
951,333.04
996,407.93
975,168.28
997,238.61
1005,140.88
1023,38.47
1024,48.95
1006,149.39
1009,245.77
936,277.69
1008,379.01
1011,247.52
1014,386.72
995,386.81
1016,210.87
957,291.33
994,178.4
101,67.37
89,223.54
1010,181.14
937,306.38
1013,249.86
953,236.81
1017,82.7
1019,21.17
1020,23.79
978,161.63
1018,59.9
1021,33.29
1022,30.04
102,83.8
1025,29.9
1026,27.36
1027,10.74
1028,34.62
1029,62.3
1030,140.83
1031,36.22
103,135.74
104,287.46
1036,119.96
1057,380.59
1032,81.1
1033,106.15
1034,84.85
1035,109.71
1060,195.62
1101,158.99
1050,139.6
1051,54.15
1037,363.26
1038,107.83
1039,323.36
1040,267.44
1041,475.73
1086,272.71
163,254.84
194,319.49
248,133.8
249,147.81
250,152.39
251,341.29
1080,200.46
1083,235.45
1085,215.31
1120,97.46
1044,218.76
1046,238.7
1049,232.76
1081,402.63
1082,335.08
1136,335.54
1137,312.35
143,492.64
1042,285.62
1043,164.53
1045,102.65
1047,114.61
1048,120.52
1088,113.11
1089,136.97
195,127.93
1119,114.02
1134,37.84
140,150.54
105,265.27
159,111.35
179,274.98
1052,55.48
1053,187.38
1124,25.71
1126,19.28
1063,32.99
1061,326.63
1090,191.5
1054,250.88
1055,230.0
1056,99.69
1058,210.53
1059,278.54
1129,174.86
1076,213.17
1092,235.12
1104,330.23
1107,228.83
1128,186.83
1131,108.15
1132,129.1
1133,160.06
1130,116.31
1062,288.37
106,144.12
107,135.03
108,92.04
25,136.8
1103,213.03
1105,190.34
1064,195.06
1065,193.69
1066,241.32
1067,132.51
1068,123.19
1069,86.13
1070,265.45
1071,128.76
1072,152.18
1073,154.83
1074,131.59
1099,154.43
1113,77.9
1114,135.24
1112,82.7
188,72.15
70,267.28
1075,296.3
1077,147.16
1091,205.1
1106,67.64
1125,95.44
1150,153.14
1078,411.14
1079,431.02
1084,107.1
142,494.16
196,140.58
1111,92.83
1109,270.17
1140,307.82
1151,88.77
1087,52.26
1097,156.64
1094,130.48
1108,57.51
1117,102.36
109,264.11
110,723.1
1093,100.81
1095,106.61
1100,138.6
1123,60.27
164,141.08
1096,202.99
1098,110.72
1121,146.55
3454,83.13
3535,310.25
127,558.9
169,335.53
4510,252.28
50,398.83
602,1090.41
611,697.85
1139,75.73
1102,180.22
1141,107.26
1127,93.93
1110,307.46
111,75.76
191,78.68
211,181.49
47,41.58
1138,306.1
1148,248.96
1115,79.02
1116,48.87
4895,58.97
1118,35.09
112,86.83
113,83.17
114,115.07
115,58.34
1122,109.3
183,60.82
200,60.64
201,66.81
1135,173.32
121,148.27
124,96.28
1142,185.49
1143,197.26
1149,105.67
1144,169.77
1145,150.98
1146,204.91
1147,208.4
141,187.22
4906,126.6
4924,86.38
15,164.53
1152,39.79
1153,126.38
1154,161.79
1155,130.76
1156,99.65
1157,51.28
1158,50.19
1159,274.99
1891,86.03
1892,132.01
2010,46.65
1400,675.09
1766,372.27
116,54.35
150,81.5
54,49.88
1160,273.38
1161,457.39
1162,51.14
1163,90.88
1164,179.57
1165,83.65
1168,1254.49
400,483.91
1359,53.82
1456,37.43
1626,41.28
2019,44.4
2022,36.86
1166,165.24
1167,333.87
1260,348.64
1234,575.5
1240,789.18
1242,772.8
1256,397.46
1257,1431.38
1258,697.82
1259,470.13
1261,654.27
1169,73.79
1170,127.29
1171,52.92
1172,93.88
117,36.41
118,35.66
39,34.63
1761,344.78
2166,22.72
1809,135.61
1173,103.11
1174,118.72
1175,130.13
1176,74.36
1177,323.78
1803,108.94
1804,73.28
1341,56.78
1999,27.96
1344,273.17
1345,235.37
1619,305.1
1652,174.11
1805,189.58
1806,147.62
1178,324.34
1179,348.76
1180,143.18
1181,155.74
1182,218.98
1183,250.11
1184,249.22
1185,140.94
1186,445.88
1187,528.55
161,56.18
1220,58.42
1397,248.2
1651,233.16
1672,128.84
1620,315.29
1935,40.87
1936,65.01
1618,361.13
1623,576.66
1477,702.2
1754,334.46
1765,124.78
1767,203.07
1768,207.41
1188,32.32
1189,21.76
1190,19.25
1191,74.53
1900,18.2
119,67.06
120,68.46
2009,21.81
1677,113.05
1192,412.17
1193,421.45
1194,232.07
1195,167.23
1196,300.67
1197,218.98
1198,175.52
1199,308.79
1200,290.21
