node,mean_infected_time
0,673.5
1,1101.1
101,603.61
103,802.92
120,565.32
146,752.07
148,383.55
166,2826.86
17,1858.52
177,1219.74
178,695.42
18,1292.69
215,1344.73
218,1199.85
221,1438.14
222,1303.58
223,1233.28
226,1668.07
238,644.33
248,506.14
250,699.43
266,431.65
268,618.08
283,2560.34
297,241.31
309,884.08
313,233.76
316,768.79
368,820.39
377,1969.04
380,483.8
459,1055.36
498,1638.27
5,2385.44
560,956.36
581,806.74
6,1664.1
64,2642.53
65,1040.57
73,542.5
734,419.34
74,1711.46
88,696.62
106,2452.35
121,3189.51
127,932.8
128,2220.86
142,2381.09
147,1303.92
155,1620.32
187,1517.42
189,1231.57
199,1244.35
21,2614.25
224,394.36
225,526.11
232,1333.95
254,1839.27
255,1679.43
280,2160.02
284,740.61
310,613.86
317,595.27
351,1076.16
450,1429.03
495,1782.58
52,598.9
537,537.23
548,1155.48
549,1268.07
568,581.02
616,167.51
641,946.09
726,526.23
82,3124.64
84,1996.23
85,781.01
979,143.99
10,1340.64
105,2230.5
11,1292.36
13,2302.29
133,1786.39
134,409.9
143,1031.68
160,3255.59
173,1818.65
20,1684.74
25,858.73
256,2364.95
260,528.39
271,1529.42
282,2361.2
300,1490.97
306,1136.56
324,492.22
325,613.44
326,1091.24
327,727.51
329,2260.12
339,1212.47
340,1950.82
36,1015.5
366,2065.92
400,908.59
405,2395.24
409,1465.16
434,2672.54
44,2281.64
508,541.81
509,757.6
535,68.58
564,605.23
638,470.62
69,1486.39
728,234.82
777,502.98
86,2555.34
89,1300.0
96,2065.16
971,963.73
100,731.57
102,397.57
107,2844.16
117,525.65
124,617.29
125,447.51
185,369.06
262,474.6
301,2068.68
323,798.04
353,1196.41
354,105.95
371,1980.49
404,1559.05
424,2142.28
429,511.36
494,1990.24
51,1460.43
592,417.99
618,297.11
62,2897.61
640,133.07
662,405.57
687,169.38
708,437.63
768,361.96
820,1974.0
92,781.2
935,82.34
937,190.84
97,279.63
98,422.24
99,797.96
1000,141.94
14,1446.29
206,811.07
292,1000.42
918,789.09
1001,211.08
193,533.61
194,836.64
