node,mean_infected_time
0,33.6
1,2.8
101,93.6
103,41.6
120,10.8
146,2.8
148,23.0
166,204.4
17,378.2
177,29.0
178,52.0
18,44.2
215,83.0
218,156.6
221,175.2
222,7.8
223,130.2
226,241.6
238,29.6
248,62.4
250,44.4
266,12.8
268,87.8
283,83.8
297,22.0
309,23.2
313,5.4
316,67.0
368,6.4
377,133.8
380,85.0
459,180.4
498,71.8
5,203.0
560,103.0
581,86.0
6,18.6
64,54.6
65,126.6
73,52.2
734,4.6
74,115.8
88,29.8
106,159.2
121,414.8
127,123.8
128,367.6
142,208.4
147,204.4
155,165.8
187,219.0
189,195.0
199,50.6
21,152.0
224,3.6
225,41.6
232,24.8
254,117.4
255,80.8
280,94.4
284,17.6
310,2.0
317,4.8
351,138.2
450,115.2
495,279.0
52,4.8
537,19.4
548,77.8
549,234.8
568,3.8
616,13.8
641,6.4
726,6.6
82,406.4
84,83.6
85,9.6
979,3.4
10,40.2
105,193.6
11,303.0
13,80.6
133,162.8
134,7.8
143,85.0
160,422.2
173,79.8
20,172.2
25,124.8
256,160.4
260,62.2
271,2.0
282,255.8
300,205.6
306,35.4
324,5.4
325,144.4
326,1.4
327,3.6
329,139.0
339,25.4
340,193.2
36,4.6
366,94.4
400,63.2
405,171.0
409,68.2
434,282.6
44,193.4
508,207.6
509,177.2
535,8.2
564,20.0
638,14.4
69,17.0
728,53.2
777,4.4
86,271.0
89,39.2
96,37.0
971,119.0
100,49.2
102,45.4
107,355.4
117,71.0
124,65.8
125,49.8
185,48.2
262,23.4
301,209.6
323,55.8
353,75.8
354,5.0
371,18.8
404,82.4
424,54.2
429,18.2
494,251.2
51,142.0
592,7.0
618,32.4
62,227.4
640,4.6
662,25.4
687,8.4
708,6.4
768,9.4
820,302.0
92,25.6
935,4.4
937,58.0
97,2.8
98,1.6
99,119.4
1000,15.0
14,231.4
206,105.8
292,79.0
918,4.8
1001,6.6
193,5.2
194,78.2
2,232.2
3,20.4
4,208.2
803,4.0
826,7.0
832,7.0
990,122.4
1002,3.2
1003,4.0
258,14.0
1004,3.6
55,136.4
131,185.6
211,90.2
233,128.6
419,133.0
83,193.2
192,20.0
411,139.2
412,72.8
516,40.8
517,4.6
743,9.2
812,6.0
104,91.4
122,4.2
123,144.4
150,47.0
157,59.6
162,139.4
179,172.2
181,99.2
182,99.2
201,224.0
295,79.6
296,166.8
320,169.2
321,209.4
342,136.0
352,33.6
376,6.2
378,15.8
379,183.4
385,7.0
389,47.2
390,52.2
392,24.2
393,97.6
394,3.0
395,14.6
397,88.8
526,153.4
53,9.8
546,82.4
582,141.8
60,8.6
61,8.0
741,6.0
288,61.2
387,12.4
388,6.4
114,169.0
115,499.2
129,158.0
145,176.6
152,128.4
153,136.2
154,18.8
158,69.4
159,7.6
16,98.8
161,21.6
163,35.2
165,399.0
169,258.0
170,93.8
180,94.6
183,120.4
184,182.0
190,34.8
203,46.4
210,103.2
212,141.2
236,204.6
242,93.4
243,3.4
249,372.2
252,176.2
269,17.8
28,177.2
281,104.4
285,155.4
303,324.2
314,80.8
333,244.4
346,32.6
347,11.8
355,2.0
357,142.8
358,80.6
360,6.4
362,225.6
363,255.2
367,307.4
375,65.0
384,6.6
41,107.6
42,49.2
420,524.4
422,65.4
427,254.0
431,76.6
441,182.2
453,140.0
473,154.0
474,247.8
478,52.0
48,76.6
489,46.4
492,33.4
493,175.6
506,50.0
518,231.0
533,366.2
543,52.2
544,39.2
550,23.6
569,2.4
58,189.8
589,37.8
601,54.2
607,99.2
612,56.8
654,47.6
667,6.6
747,131.8
748,106.8
77,2.6
771,4.8
80,191.4
81,417.6
856,138.0
859,99.0
87,90.0
914,2.6
113,104.8
132,215.6
188,135.4
230,161.4
253,133.2
259,2.4
278,93.0
279,2.6
287,138.4
290,153.8
298,5.8
311,70.4
356,184.6
365,336.0
372,181.2
373,54.6
454,38.2
46,14.8
462,217.8
467,33.6
480,267.2
486,112.0
490,266.0
519,6.0
531,36.4
551,5.4
614,3.4
615,266.6
642,1.4
671,5.2
68,264.0
690,73.2
695,60.4
717,149.0
72,3.2
756,108.6
828,3.8
885,14.6
90,10.0
932,94.2
137,285.0
139,125.0
141,152.2
164,146.0
172,200.2
174,132.6
19,17.8
207,39.8
209,8.6
214,39.6
216,51.0
23,308.6
237,9.6
31,93.0
318,188.4
319,2.8
338,191.0
343,24.2
35,247.8
361,4.8
401,85.8
410,114.2
417,185.2
418,4.4
428,46.2
430,27.0
438,81.6
448,10.0
45,32.0
468,10.4
47,35.2
481,89.6
532,48.4
54,57.4
541,4.8
57,129.8
591,2.0
597,37.6
63,215.0
665,56.4
70,2.0
702,20.4
704,4.2
730,6.0
736,8.8
769,3.6
78,27.4
79,48.6
8,38.0
809,28.2
834,4.2
837,4.0
896,10.0
91,2.6
954,5.6
963,15.8
108,46.6
109,2.0
110,9.2
111,4.2
112,9.2
328,8.4
