test_network,method,spearman,kendall,ndcg_top,top_hit
email-Eu-core,degree,0.9515,0.8069,0.9705,82
email-Eu-core,k-core,0.9592,0.8169,0.9254,84
email-Eu-core,PageRank,0.9332,0.7757,0.9608,80
email-Eu-core,betweenness,0.8694,0.6888,0.9089,69
email-Eu-core,CI,0.9609,0.8253,0.9577,80
email-Eu-core,DomiRank,0.7222,0.5413,0.9212,67
email-Eu-core,XGBoost,0.9603,0.8223,0.9389,81
email-Eu-core,TopL-200,0.9667,0.8385,0.9474,84
Facebook,degree,0.7919,0.6132,0.6966,58
Facebook,k-core,0.8145,0.6433,0.9248,69
Facebook,PageRank,0.4772,0.3298,0.1345,3
Facebook,betweenness,0.5842,0.4078,0.1558,6
Facebook,CI,0.8729,0.6921,0.3098,4
Facebook,DomiRank,0.5451,0.3857,0.4073,22
Facebook,XGBoost,0.8091,0.5999,0.2605,1
Facebook,TopL-200,0.8661,0.6884,0.9239,69
US-power-grid,degree,0.5256,0.3545,0.7072,47
US-power-grid,k-core,0.4551,0.2632,0.7192,55
US-power-grid,PageRank,0.3014,0.1879,0.4928,23
US-power-grid,betweenness,0.3907,0.2655,0.4427,15
US-power-grid,CI,0.7192,0.5445,0.8929,67
US-power-grid,DomiRank,0.3116,0.2086,0.5664,32
US-power-grid,XGBoost,0.7094,0.5289,0.7951,55
US-power-grid,TopL-200,0.6311,0.4539,0.8099,60
OpenFlights,degree,0.7426,0.552,0.9443,79
OpenFlights,k-core,0.7752,0.5835,0.9139,71
OpenFlights,PageRank,0.4606,0.322,0.8168,63
OpenFlights,betweenness,0.541,0.3645,0.7119,47
OpenFlights,CI,0.8197,0.6417,0.9344,78
OpenFlights,DomiRank,0.2894,0.1952,0.8487,61
OpenFlights,XGBoost,0.8488,0.6703,0.9312,83
OpenFlights,TopL-200,0.8569,0.6819,0.9604,85
